Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
4,0.31,0.12,0.31,30000,2,0,ignore
4,0.22,0.21,0.22,30000,4,0,ignore
4,0.36,0.36,0.36,30000,6,0,ignore
4,0.48,0.47,0.48,30000,8,0,ignore
4,0.42,0.42,0.44,30000,10,0,ignore
4,0.41,0.41,0.44,30000,12,0,ignore
4,0.45,0.44,0.45,30000,14,0,ignore
4,0.61,0.60,0.61,30000,16,0,ignore
4,0.52,0.52,0.52,30000,18,0,ignore
4,0.58,0.53,0.60,30000,20,0,ignore
4,0.52,0.51,0.52,30000,22,0,ignore
4,0.53,0.53,0.53,30000,24,0,ignore
4,0.50,0.49,0.54,30000,26,0,ignore
4,0.51,0.51,0.58,30000,28,0,ignore
4,0.51,0.51,0.67,30000,30,0,ignore
4,0.78,0.69,0.80,30000,32,0,ignore
4,0.74,0.67,0.74,30000,34,0,ignore
4,0.65,0.63,0.65,30000,36,0,ignore
4,0.65,0.60,0.65,30000,38,0,ignore
4,0.63,0.63,0.63,30000,40,0,ignore
4,0.59,0.59,0.61,30000,42,0,ignore
4,0.64,0.61,0.64,30000,44,0,ignore
4,0.65,0.61,0.65,30000,46,0,ignore
4,0.61,0.61,0.65,30000,48,0,ignore
4,0.64,0.59,0.64,30000,50,0,ignore
4,0.61,0.60,0.64,30000,52,0,ignore
4,0.63,0.59,0.65,30000,54,0,ignore
4,0.65,0.62,0.65,30000,56,0,ignore
4,0.60,0.60,0.60,30000,58,0,ignore
4,0.65,0.61,0.65,30000,60,0,ignore
4,0.62,0.62,0.68,30000,62,0,ignore
4,0.87,0.83,0.87,30000,64,0,ignore
4,0.79,0.74,0.79,30000,66,0,ignore
4,0.79,0.76,0.79,30000,68,0,ignore
4,0.82,0.76,0.82,30000,70,0,ignore
4,0.92,0.83,0.92,30000,72,0,ignore
4,0.91,0.80,0.91,30000,74,0,ignore
4,0.86,0.81,0.87,30000,76,0,ignore
4,0.84,0.82,0.84,30000,78,0,ignore
4,0.92,0.87,0.92,30000,80,0,ignore
4,0.99,0.84,0.99,30000,82,0,ignore
4,0.89,0.87,0.89,30000,84,0,ignore
4,0.94,0.83,0.94,30000,86,0,ignore
4,0.97,0.91,0.97,30000,88,0,ignore
4,0.97,0.85,0.97,30000,90,0,ignore
4,0.89,0.86,0.89,30000,92,0,ignore
4,0.88,0.86,0.88,30000,94,0,ignore
4,0.96,0.91,0.96,30000,96,0,ignore
4,0.97,0.93,1.01,30000,98,0,ignore
4,1.13,0.94,1.13,30000,100,0,ignore
4,1.12,0.90,1.12,30000,102,0,ignore
4,1.06,0.96,1.06,30000,104,0,ignore
4,1.00,0.94,1.02,30000,106,0,ignore
4,0.94,0.94,1.19,30000,108,0,ignore
4,0.95,0.95,1.06,30000,110,0,ignore
4,1.05,0.95,1.05,30000,112,0,ignore
4,1.08,0.97,1.13,30000,114,0,ignore
4,0.99,0.99,1.21,30000,116,0,ignore
4,0.97,0.97,1.03,30000,118,0,ignore
4,1.13,0.98,1.13,30000,120,0,ignore
4,1.02,1.01,1.16,30000,122,0,ignore
4,1.04,1.03,1.04,30000,124,0,ignore
